segment_id,expected_pose,expected_distance_m,frame,timestamp_s,tid,old_display_pose,new_display_pose,old_correct,new_correct,stand_prob,sit_prob,sit_minus_stand_margin,quality,geom_pts,range_m,range_error_m,velocity_x,velocity_y,velocity_z,speed_mps,body_translation_if_available,moving_override_state,moving_override_reason,sitting_relative_gate_state,sitting_relative_gate_stable_count,reason
sitting_1m,SITTING,1.0,4650,246.079,3,STANDING,SITTING,False,True,0.2689261734485626,0.6708428859710693,0.4019167125225067,NO_POINTS,0,1.7032046570437267,0.7032046570437267,-0.0031285271979868,-0.0017631154041737,-0.0075099347159266,0.0035911360816569,0.003812500808525322,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4651,246.157,3,STANDING,SITTING,False,True,0.2616488039493561,0.679655909538269,0.41800710558891296,NO_POINTS,0,1.7027959815198899,0.7027959815198899,0.0,0.0,0.0,0.0,0.0019832066723982577,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4652,246.157,3,STANDING,SITTING,False,True,0.2453299462795257,0.6977468729019165,0.4524169266223908,NO_POINTS,0,1.7027959815198899,0.7027959815198899,0.0,0.0,0.0,0.0,0.0012208169767854466,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4653,246.235,3,STANDING,SITTING,False,True,0.252651959657669,0.6924172043800354,0.4397652447223664,NO_POINTS,0,1.7027959815198899,0.7027959815198899,0.0,0.0,0.0,0.0,0.005965866133095969,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4654,246.329,3,STANDING,SITTING,False,True,0.2819442749023437,0.6597155332565308,0.37777125835418707,NO_POINTS,0,1.701406502807896,0.701406502807896,0.0027452581562101,0.0007714353268966,-0.0028154028113931,0.0028515881202976,0.010169348744685943,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4655,246.407,3,STANDING,SITTING,False,True,0.3051778674125671,0.6355642080307007,0.3303863406181336,NO_POINTS,0,1.701406502807896,0.701406502807896,0.0027452581562101,0.0007714353268966,-0.0028154028113931,0.0028515881202976,0.009147267447768576,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4656,246.407,3,STANDING,SITTING,False,True,0.3483545184135437,0.5862603187561035,0.23790580034255981,NO_POINTS,0,1.701406502807896,0.701406502807896,0.0027452581562101,0.0007714353268966,-0.0028154028113931,0.0028515881202976,0.007114710190560264,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4657,246.485,3,STANDING,SITTING,False,True,0.381129115819931,0.5493302941322327,0.1682011783123017,NO_POINTS,0,1.701406502807896,0.701406502807896,0.0027452581562101,0.0007714353268966,-0.0028154028113931,0.0028515881202976,0.002567403009987956,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4679,247.688,3,STANDING,SITTING,False,True,0.0855182409286499,0.873076319694519,0.7875580787658691,NO_POINTS,0,1.6561105352961798,0.6561105352961798,-0.0201233252882957,-0.0158074982464313,-0.0808734446763992,0.025589552975179,0.02750313122094554,,sitting_relative_gate,PASS,8,sitting_relative_gate
sitting_1m,SITTING,1.0,4680,247.782,3,STANDING,SITTING,False,True,0.0998274087905883,0.8565922379493713,0.7567648291587831,NO_POINTS,0,1.6561105352961798,0.6561105352961798,-0.0201233252882957,-0.0158074982464313,-0.0808734446763992,0.025589552975179,0.02265288321708984,,sitting_relative_gate,PASS,8,sitting_relative_gate
