segment_id,expected_pose,expected_distance_m,frame,timestamp_s,tid,old_display_pose,new_display_pose,old_correct,new_correct,stand_prob,sit_prob,sit_minus_stand_margin,quality,geom_pts,range_m,range_error_m,velocity_x,velocity_y,velocity_z,speed_mps,body_translation_if_available,moving_override_state,moving_override_reason,sitting_relative_gate_state,sitting_relative_gate_stable_count,reason
standing_1m,STANDING,1.0,669,26.625,0,STANDING,SITTING,True,False,0.3810676038265228,0.5768565535545349,0.19578894972801208,LOW_POINTS,0,1.8647194372976368,0.8647194372976368,0.0056369509547948,-0.0036227274686098,5.683908239006996e-05,0.0067006992454954,0.012186660900225936,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,916,40.282,0,STANDING,SITTING,True,False,0.3073718249797821,0.6322569847106934,0.32488515973091125,LOW_POINTS,0,1.8155970679412914,0.8155970679412914,-0.0024311321321874,0.0043968372046947,0.0057106586173176,0.005024199523182,0.0164273927510891,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,917,40.344,0,STANDING,SITTING,True,False,0.3699846863746643,0.5683297514915466,0.19834506511688232,LOW_POINTS,0,1.8177848382453285,0.8177848382453285,-0.0010071357246488,0.0137199992313981,0.0063555669039487,0.0137569146714453,0.01662161553707388,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,918,40.344,0,STANDING,SITTING,True,False,0.3476259112358093,0.5963976979255676,0.2487717866897583,LOW_POINTS,0,1.8195517822167964,0.8195517822167964,0.004069578833878,0.01690055988729,0.007909164763987,0.0173836243743652,0.021439767538797914,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,919,40.422,0,STANDING,SITTING,True,False,0.3995170891284942,0.5471857190132141,0.1476686298847199,NO_POINTS,0,1.82220997691568,0.8222099769156801,0.0036802235990762,0.0170653741806745,0.0112392054870724,0.0174576929078739,0.022488539430503888,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,1131,52.157,0,STANDING,SITTING,True,False,0.24073027074337,0.721416711807251,0.480686441063881,NO_POINTS,0,1.7558299117839435,0.7558299117839435,-0.0306554362177848,-0.028515838086605,-0.0681061223149299,0.0418677535996875,0.08306407791919537,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,1132,52.219,0,STANDING,SITTING,True,False,0.2449198514223098,0.715904176235199,0.4709843248128892,NO_POINTS,0,1.7517759189478916,0.7517759189478916,0.0,0.0,0.0,0.0,0.06544007791159713,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,1133,52.266,0,STANDING,SITTING,True,False,0.2480549067258834,0.7102670669555664,0.46221216022968303,LOW_POINTS,0,1.7517759189478916,0.7517759189478916,0.0,0.0,0.0,0.0,0.05822076324934817,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,1134,52.313,0,STANDING,SITTING,True,False,0.2565732002258301,0.6988916397094727,0.4423184394836426,LOW_POINTS,0,1.7336232373553033,0.7336232373553033,0.00490244012326,-0.011565251275897,-0.0249984357506036,0.0125614074146485,0.07093443095463307,,sitting_relative_gate,PASS,8,sitting_relative_gate
standing_1m,STANDING,1.0,1135,52.36,0,STANDING,SITTING,True,False,0.2642820477485657,0.6863524317741394,0.42207038402557373,LOW_POINTS,0,1.7357893137855547,0.7357893137855547,0.0039100856520235,-0.0123647423461079,-0.0213551819324493,0.0129682544350346,0.05815639952611203,,sitting_relative_gate,PASS,8,sitting_relative_gate
