segment_id,expected_pose,expected_distance_m,frames_total,frames_with_pose_prediction,dominant_display_pose,correct_frames,accuracy,unknown_rate,moving_rate,falling_false_rate,lying_false_rate,standing_rate,sitting_rate,mean_stand_prob,mean_sit_prob,median_stand_prob,median_sit_prob,mean_confidence_if_available,time_to_first_correct_s,time_to_stable_correct_s,longest_correct_run_s,longest_wrong_run_s,pose_switch_count,pose_switch_rate_per_min,dominant_wrong_pose
sitting_2m,SITTING,2.0,2094,2094,STANDING,84,0.04011461318051576,0.27363896848137537,0.0052531041069723014,0.0,0.0,0.6809933142311366,0.04011461318051576,0.47209829518904173,0.26248872903409814,0.4682319015264511,0.22804388403892517,0.5249069244694231,6.453000000000003,NA,0.796999999999997,35.688,67,34.899468694655695,STANDING
sitting_3m,SITTING,3.0,2302,2302,STANDING,8,0.0034752389226759338,0.06472632493483926,0.006081668114682885,0.0,0.0,0.9257167680278019,0.0034752389226759338,0.5963877325207577,0.28579960370494567,0.6241101026535034,0.2735316753387451,0.613429735928489,125.14099999999999,NA,0.38999999999998636,125.06200000000001,12,5.687473339968721,STANDING
sitting_4m,SITTING,4.0,1352,1352,STANDING,0,0.0,0.34245562130177515,0.008875739644970414,0.0,0.0,0.6486686390532544,0.0,0.48783722284564074,0.39410056466837384,0.5060547590255737,0.39471299946308136,0.5231369147462958,NA,NA,0.0,74.31300000000005,9,7.263531690519741,STANDING
