segment_id,expected_pose,expected_distance_m,start_time_s,end_time_s
standing_2m,STANDING,2.0,,
standing_3m,STANDING,3.0,,
standing_4m,STANDING,4.0,,
sitting_2m,SITTING,2.0,,
sitting_3m,SITTING,3.0,,
sitting_4m,SITTING,4.0,,
