segment_id,expected_pose,expected_distance_m,tracking_presence_rate,range_mae_m,extra_track_rate,tid_switch_count,posture_accuracy,dominant_wrong_pose,quality_NO_POINTS_rate,mean_geom_pts,main_failure_hypothesis
sitting_2m,SITTING,2.0,1.0,0.0640478115260745,0.0,0,0.04011461318051576,STANDING,0.7067812798471824,2.13323782234957,sit-vs-stand discrimination under sparse geometry
sitting_3m,SITTING,3.0,1.0,0.03914850649819427,1.0,0,0.0034752389226759338,STANDING,0.5597306689834927,0.9776281494352737,ghost/shadow tracking
sitting_4m,SITTING,4.0,1.0,0.0994331420906703,1.0,0,0.0,STANDING,0.514792899408284,1.4508136094674555,ghost/shadow tracking
