segment_id,timestamp_s,from,to,event
sitting_2m,102.14,UNKNOWN,STANDING,pose_switch
sitting_2m,103.14,STANDING,UNKNOWN,pose_switch
sitting_2m,103.875,UNKNOWN,STANDING,pose_switch
sitting_2m,104.234,STANDING,UNKNOWN,pose_switch
sitting_2m,105.39,UNKNOWN,STANDING,pose_switch
sitting_2m,107.765,STANDING,UNKNOWN,pose_switch
sitting_2m,108.093,UNKNOWN,SITTING,pose_switch
sitting_2m,108.89,SITTING,UNKNOWN,pose_switch
sitting_2m,109.968,UNKNOWN,STANDING,pose_switch
sitting_2m,111.406,STANDING,MOVING,pose_switch
sitting_2m,112.031,MOVING,UNKNOWN,pose_switch
sitting_2m,112.625,UNKNOWN,STANDING,pose_switch
sitting_2m,115.922,STANDING,UNKNOWN,pose_switch
sitting_2m,118.703,UNKNOWN,STANDING,pose_switch
sitting_2m,121.031,STANDING,UNKNOWN,pose_switch
sitting_2m,121.953,UNKNOWN,STANDING,pose_switch
sitting_2m,123.953,STANDING,UNKNOWN,pose_switch
sitting_2m,124.781,UNKNOWN,STANDING,pose_switch
sitting_2m,126.14,STANDING,UNKNOWN,pose_switch
sitting_2m,127.578,UNKNOWN,STANDING,pose_switch
sitting_2m,132.109,STANDING,UNKNOWN,pose_switch
sitting_2m,132.578,UNKNOWN,STANDING,pose_switch
sitting_2m,134.562,STANDING,UNKNOWN,pose_switch
sitting_2m,135.593,UNKNOWN,STANDING,pose_switch
sitting_2m,136.218,STANDING,UNKNOWN,pose_switch
sitting_2m,137.937,UNKNOWN,STANDING,pose_switch
sitting_2m,140.328,STANDING,UNKNOWN,pose_switch
sitting_2m,141.859,UNKNOWN,STANDING,pose_switch
sitting_2m,144.187,STANDING,UNKNOWN,pose_switch
sitting_2m,144.64,UNKNOWN,SITTING,pose_switch
sitting_2m,144.984,SITTING,STANDING,pose_switch
sitting_2m,145.859,STANDING,UNKNOWN,pose_switch
sitting_2m,146.312,UNKNOWN,SITTING,pose_switch
sitting_2m,146.765,SITTING,STANDING,pose_switch
sitting_2m,147.109,STANDING,UNKNOWN,pose_switch
sitting_2m,148.312,UNKNOWN,STANDING,pose_switch
sitting_2m,149.531,STANDING,UNKNOWN,pose_switch
sitting_2m,149.968,UNKNOWN,SITTING,pose_switch
sitting_2m,150.547,SITTING,STANDING,pose_switch
sitting_2m,153.703,STANDING,UNKNOWN,pose_switch
sitting_2m,154.578,UNKNOWN,SITTING,pose_switch
sitting_2m,155.468,SITTING,STANDING,pose_switch
sitting_2m,155.89,STANDING,UNKNOWN,pose_switch
sitting_2m,157.093,UNKNOWN,STANDING,pose_switch
sitting_2m,163.718,STANDING,UNKNOWN,pose_switch
sitting_2m,166.375,UNKNOWN,STANDING,pose_switch
sitting_2m,171.406,STANDING,UNKNOWN,pose_switch
sitting_2m,171.922,UNKNOWN,STANDING,pose_switch
sitting_2m,173.5,STANDING,UNKNOWN,pose_switch
sitting_2m,174.203,UNKNOWN,SITTING,pose_switch
sitting_2m,174.64,SITTING,UNKNOWN,pose_switch
sitting_2m,175.343,UNKNOWN,STANDING,pose_switch
sitting_2m,181.703,STANDING,UNKNOWN,pose_switch
sitting_2m,182.14,UNKNOWN,SITTING,pose_switch
sitting_2m,182.718,SITTING,STANDING,pose_switch
sitting_2m,186.265,STANDING,UNKNOWN,pose_switch
sitting_2m,187.375,UNKNOWN,STANDING,pose_switch
sitting_2m,192.187,STANDING,UNKNOWN,pose_switch
sitting_2m,194.5,UNKNOWN,STANDING,pose_switch
sitting_2m,210.468,STANDING,UNKNOWN,pose_switch
sitting_2m,211.531,UNKNOWN,STANDING,pose_switch
sitting_2m,212.14,STANDING,UNKNOWN,pose_switch
sitting_2m,212.703,UNKNOWN,SITTING,pose_switch
sitting_2m,213.187,SITTING,STANDING,pose_switch
sitting_2m,213.64,STANDING,UNKNOWN,pose_switch
sitting_2m,215.125,UNKNOWN,STANDING,pose_switch
sitting_2m,216.64,STANDING,UNKNOWN,pose_switch
sitting_3m,229.765,UNKNOWN,MOVING,pose_switch
sitting_3m,230.515,MOVING,UNKNOWN,pose_switch
sitting_3m,230.984,UNKNOWN,STANDING,pose_switch
sitting_3m,233.781,STANDING,UNKNOWN,pose_switch
sitting_3m,236.906,UNKNOWN,STANDING,pose_switch
sitting_3m,254.578,STANDING,UNKNOWN,pose_switch
sitting_3m,255.562,UNKNOWN,STANDING,pose_switch
sitting_3m,343.078,STANDING,UNKNOWN,pose_switch
sitting_3m,343.515,UNKNOWN,STANDING,pose_switch
sitting_3m,352.703,STANDING,UNKNOWN,pose_switch
sitting_3m,354.0,UNKNOWN,SITTING,pose_switch
sitting_3m,354.484,SITTING,UNKNOWN,pose_switch
sitting_4m,370.125,UNKNOWN,STANDING,pose_switch
sitting_4m,379.937,STANDING,MOVING,pose_switch
sitting_4m,380.562,MOVING,STANDING,pose_switch
sitting_4m,383.703,STANDING,UNKNOWN,pose_switch
sitting_4m,393.812,UNKNOWN,STANDING,pose_switch
sitting_4m,402.625,STANDING,UNKNOWN,pose_switch
sitting_4m,411.937,UNKNOWN,STANDING,pose_switch
sitting_4m,436.156,STANDING,UNKNOWN,pose_switch
sitting_4m,439.531,UNKNOWN,STANDING,pose_switch
