session_id,exists,selected_path,searched_roots,csv_files,has_rgb_video,has_metadata,cfg_path,recording_date,notes
session_20260703_205540,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260703_205540,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-03T20:55:41.166-04:00,metadata says mmwave_log_points=false
sitting_ab_default_cfg,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\sitting_ab_default_cfg,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-04T11:27:53.811-04:00,metadata says mmwave_log_points=false
sitting_ab_static_retention_cfg,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\sitting_ab_static_retention_cfg,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_staticRetention.cfg,2026-07-04T11:34:35.998-04:00,metadata says mmwave_log_points=false
sitting_relative_gate_refined_live_test,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\sitting_relative_gate_refined_live_test,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-04T12:52:46.791-04:00,metadata says mmwave_log_points=false
session_20260704_145249,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260704_145249,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-04T14:52:49.970-04:00,metadata says mmwave_log_points=false
session_20260704_150636,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260704_150636,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-04T15:06:36.312-04:00,metadata says mmwave_log_points=false
session_20260704_152302,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260704_152302,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-04T15:23:02.332-04:00,metadata says mmwave_log_points=false
session_20260706_173741,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260706_173741,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-06T17:37:41.444-04:00,metadata says mmwave_log_points=false
session_20260706_175519,True,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs\session_20260706_175519,C:\Users\UBESC\Desktop\Combined MMwave and RGB\logs;C:\Users\UBESC\Desktop\Combined MMwave and RGB\mmwave_pose_ui_4ec2b00\logs,mmwave_frames.csv;mmwave_pose.csv;mmwave_tracks.csv;rgb_actions.csv;rgb_frames.csv;rgb_keypoints.csv;rgb_tracks.csv;sync_index.csv,True,True,C:\Users\UBESC\Desktop\radar_toolbox_4_00_00_05\source\ti\examples\Industrial_and_Personal_Electronics\People_Tracking\3D_People_Tracking\chirp_configs\ODS_6m_default.cfg,2026-07-06T17:55:20.211-04:00,metadata says mmwave_log_points=false
