segment_id,expected_pose,expected_subpose,expected_distance_m,start_time_s,end_time_s,duration_s,confidence,frames_expected,frames_with_track,frames_with_pose,tracking_presence_rate,pose_presence_rate,ui_visible_rate,disappearance_rate,longest_disappearance_s,num_disappearance_events,range_mae_m,range_bias_m,range_jitter_m,tid_switch_count,extra_track_rate,dominant_tid,dominant_display_pose,posture_accuracy,display_standing_rate,display_sitting_rate,display_moving_rate,display_unknown_rate,mean_stand_prob,mean_sit_prob,mean_move_prob_if_available,mean_lie_prob_if_available,mean_fall_prob_if_available,mean_sit_minus_stand_margin,sitting_relative_gate_trigger_rate,sitting_relative_gate_blocked_range_rate,sitting_relative_gate_blocked_standing_veto_rate,sitting_relative_gate_passed_rate,moving_override_rate,moving_override_blocked_body_still_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,mean_geom_pts,geom_pts_ge_1_rate,geom_pts_ge_3_rate,rgb_frames_count,rgb_track_presence_rate,rgb_video_present
standing_1m,STANDING,STANDING,1.0,25.506,78.687,53.181,0.95,1064,967,967,0.9088345864661654,0.9088345864661654,0.8975563909774437,0.10244360902255634,0.4,2,0.0506977237631926,0.05069609963174412,0.014606016549201416,0,0.0,1,STANDING,0.9803516028955532,0.8909774436090225,0.011278195488721804,0.006578947368421052,0.0,0.47908623605935746,0.46938065669066903,,0.02519368806578438,0.026339427837687803,-0.009705579368688452,0.0,0.9088345864661654,0.4774436090225564,0.0,0.0,0.0,0.20488721804511278,0.5883458646616542,0.08458646616541353,3.156153050672182,0.7039473684210527,0.4718045112781955,14050,,True
standing_2m,STANDING,STANDING,2.0,88.768,149.03,60.262,0.95,1205,1096,1096,0.9095435684647303,0.9095435684647303,0.9012448132780083,0.09875518672199168,0.4,2,0.0475875727050509,0.047537640772131316,0.030753465886684327,0,0.0,1,STANDING,0.9844890510948905,0.8954356846473029,0.014107883817427386,0.0,0.0,0.58114497730658,0.35742373905912805,,0.03812494240089376,0.023306348997535288,-0.223721238247452,0.0,0.9095435684647303,0.6688796680497925,0.0,0.0,0.0,0.5983402489626556,0.3020746887966805,0.007468879668049793,0.8120437956204379,0.3112033195020747,0.11037344398340249,14050,,True
standing_3m,STANDING,STANDING,3.0,168.96,231.854,62.894,0.95,1258,1143,1143,0.9085850556438791,0.9085850556438791,0.8879173290937997,0.11208267090620028,0.3,5,0.0875643947872388,0.0875643947872388,0.01642090609169595,0,0.0,1,STANDING,0.8267716535433071,0.7511923688394276,0.1573926868044515,0.0,0.0,0.5516431989198777,0.38104785540754715,,0.041832455706864884,0.025476501983682447,-0.17059534351233058,0.1518282988871224,0.0,0.6788553259141494,0.06836248012718601,0.0,0.0,0.6685214626391097,0.20906200317965024,0.023052464228934817,1.0358705161854769,0.24006359300476948,0.1383147853736089,14050,,True
standing_4m,STANDING,STANDING,4.0,241.856,268.823,26.967,0.49,539,491,491,0.9109461966604824,0.9109461966604824,0.9090909090909091,0.09090909090909094,0.0,0,0.003330269418598266,0.003117456292761266,0.0014281011472737455,0,0.0,1,STANDING,1.0,0.9109461966604824,0.0,0.0,0.0,0.7735918186711197,0.17109831879313755,,0.030496508353475133,0.024813340001885557,-0.6024934998779822,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.8868274582560297,0.02411873840445269,0.0,0.04276985743380855,0.02411873840445269,0.0037105751391465678,14050,,True
standing_5m,STANDING,STANDING,5.0,314.926,377.169,62.243,0.95,1245,1132,1132,0.9092369477911647,0.9092369477911647,0.9092369477911647,0.0907630522088353,0.0,0,0.12245968386105117,0.12245968386105117,0.007075937990880894,0,0.0,2,STANDING,1.0,0.9092369477911647,0.0,0.0,0.0,0.8743368818197571,0.08480327300292965,,0.019989351956700267,0.020870518278291023,-0.7895336088168273,0.0,0.0,0.9092369477911647,0.0,0.0,0.0,0.8401606425702811,0.06907630522088354,0.0,0.1501766784452297,0.06907630522088354,0.020883534136546186,14050,,True
leanback_1m,SITTING,SITTING_LEAN_BACK,1.0,406.98,435.014,28.034,0.51,561,510,510,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0,0.31096523853320895,0.31096523853320895,0.016547845443730207,0,0.0,4,SITTING,1.0,0.0,0.9090909090909091,0.0,0.0,0.25464524836370755,0.608244223688163,,0.10852632372110495,0.028584221036483802,0.35359897532445544,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.8057040998217468,0.10338680926916222,0.0,0.22549019607843138,0.10338680926916222,0.026737967914438502,14050,,True
leanback_2m,SITTING,SITTING_LEAN_BACK,2.0,471.363,497.291,25.928,0.471,519,472,472,0.9094412331406551,0.9094412331406551,0.9094412331406551,0.09055876685934494,0.0,0,0.35255994986422207,0.35255994986422207,0.003733948813964099,0,0.0,4,SITTING,1.0,0.0,0.9094412331406551,0.0,0.0,0.46089217625213075,0.45283337063708545,,0.060927624524160555,0.02534681562949914,-0.00805880561504531,0.0,0.9094412331406551,0.8285163776493256,0.0,0.0,0.0,0.8651252408477842,0.036608863198458574,0.007707129094412331,0.15466101694915255,0.04431599229287091,0.025048169556840076,14050,,True
leanback_3m,SITTING,SITTING_LEAN_BACK,3.0,555.618,584.079,28.461,0.517,569,518,518,0.9103690685413005,0.9103690685413005,0.9015817223198594,0.09841827768014055,0.3,1,0.22688542630725997,0.22688542630725997,0.025830730207267574,0,0.0,6,SITTING,0.861003861003861,0.1265377855887522,0.7838312829525483,0.0,0.0,0.3751401691535725,0.5282751115247549,,0.07196090815581638,0.024623827052277465,0.15313494237118247,0.08963093145869948,0.0,0.06502636203866433,0.03690685413005272,0.0,0.0,0.8558875219683656,0.05272407732864675,0.0017574692442882249,0.1274131274131274,0.054481546572934976,0.019332161687170474,14050,,True
leanback_4m,SITTING,SITTING_LEAN_BACK,4.0,637.99,674.837,36.847,0.67,737,670,670,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0,0.27941920189474373,0.27941920189474373,0.006786107932908313,0,0.0,8,STANDING,0.0,0.9090909090909091,0.0,0.0,0.0,0.6871905232543376,0.25214220100819174,,0.03667181991040699,0.023995461723586495,-0.43504832224614587,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.8968792401628223,0.010854816824966078,0.0013568521031207597,0.03582089552238806,0.012211668928086838,0.0067842605156037995,14050,,True
leanback_5m,SITTING,SITTING_LEAN_BACK,5.0,712.573,746.749,34.176,0.621,684,621,621,0.9078947368421053,0.9078947368421053,0.9078947368421053,0.09210526315789469,0.0,0,0.061283006659547806,-0.061283006659547806,0.003950875375976033,0,0.0,9,STANDING,0.0,0.9078947368421053,0.0,0.0,0.0,0.629307390027192,0.30233321366486726,,0.04278129297826021,0.025578097141859206,-0.32697417636232484,0.0,0.0,0.9078947368421053,0.0,0.0,0.0,0.9064327485380117,0.0014619883040935672,0.0,0.00322061191626409,0.0014619883040935672,0.0,14050,,True
