distance_band,segment_count,session_count,tracking_presence_rate,pose_presence_rate,ui_visible_rate,disappearance_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,mean_geom_pts,median_geom_pts,point_count_if_available,mean_snr_if_available,range_error_mean,range_jitter,pose_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_standing_on_sitting,pose_switch_count
FAR,48,9,0.7394,0.7394,0.7958,0.2606,0.7314,0.8344,0.052,0.8806,0.0,,,0.5467,0.3086,0.4427,0.9282,0.205,0.0046,0.6642,146
NEAR,78,9,0.9095,0.9095,0.8884,0.0905,0.7145,0.9203,0.0608,1.4021,0.0,,,0.3108,0.1833,0.6595,0.9001,0.5395,0.0513,0.3972,312
