expected_subpose,windows,accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing
SITTING_LEAN_BACK,8919,0.8208319318309227,0.0,0.8208319318309227,0.0
SITTING_LEAN_FORWARD,2744,0.9879737609329446,0.0,0.9879737609329446,0.0
SITTING_UPRIGHT,3626,0.7746828461114176,0.0,0.7746828461114176,0.0
STANDING,7983,0.7812852311161218,0.7812852311161218,0.0,0.21871476888387825
