session_id,windows,accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing
session_20260703_205540,1123,0.96260017809439,1.0,0.9165009940357853,0.0
session_20260704_145249,3946,0.745818550430816,0.5177884615384616,1.0,0.48221153846153847
session_20260704_150636,2903,0.9004478126076473,0.0,0.9004478126076473,0.0
session_20260704_152302,4111,0.8902943322792508,0.9878154917319408,0.8524645509790681,0.012184508268059183
session_20260706_173741,3184,0.820037688442211,0.820037688442211,0.0,0.17996231155778894
session_20260706_175519,2898,0.7146307798481711,0.0,0.7146307798481711,0.0
sitting_ab_default_cfg,649,0.9506933744221879,0.0,0.9506933744221879,0.0
sitting_ab_static_retention_cfg,1422,0.5267229254571026,0.0,0.5267229254571026,0.0
sitting_relative_gate_refined_live_test,3036,0.8998682476943346,0.8357894736842105,0.9290508149568553,0.16421052631578947
