expected_position,windows,accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing
CENTER,12426,0.8423466924191212,0.9449244060475162,0.7987846824122907,0.0550755939524838
LEFT,5191,0.7817376228087074,0.7590673575129534,0.7951548604722478,0.24093264248704663
RIGHT,5655,0.8051282051282052,0.541507024265645,0.9924379915305506,0.45849297573435505
