expected_distance_m,windows,accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing
1.0,4960,0.8405241935483871,0.815347721822542,0.8532806804374241,0.18465227817745802
2.0,5603,0.8284847403176869,0.7017445132245357,0.8873497124934657,0.29825548677546426
3.0,5198,0.7814544055405925,0.7162842753217683,0.8155965992377602,0.2837157246782317
4.0,4143,0.855660149650012,0.8834110592938041,0.839894019682059,0.11658894070619587
5.0,3368,0.7897862232779097,0.8192,0.7724268177525968,0.1808
