model_name,validation,overall_accuracy,standing_accuracy,sitting_accuracy,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,unknown_prediction_rate,notes,acceptance_passed_for_best
baseline_current_displayed_pose,leave_one_session_out,0.6370316259883121,0.9387448327696355,0.4794950618091438,0.4376723662437948,0.46529880031393656,0.5809037900874635,0.061255167230364525,0.050923335198656966,0.5205049381908562,0.0,,False
baseline_raw_old_onnx_probability,leave_one_session_out,0.6185974561705053,0.8490542402605536,0.49826672771273467,0.5190292333149475,0.4896288821616773,0.4989067055393586,0.15094575973944632,0.08617795187465026,0.5017332722872654,0.0,,False
baseline_old_smoothed_gated_pose,leave_one_session_out,0.6376761773805432,0.9435049480145309,0.4779907122768003,0.4437396580253723,0.45958067047875323,0.5830903790087464,0.05649505198546912,0.05204252937884723,0.5220092877231997,0.0,,False
LogisticRegression,leave_one_session_out,0.7560587830869715,0.6318426656645372,0.8209169991497155,0.7752344180915609,0.7939230855477072,0.9690233236151603,0.3681573343354629,0.4443200895355344,0.17908300085028453,0.0,,False
RandomForestClassifier,leave_one_session_out,0.8197834307322104,0.7812852311161218,0.839884884557525,0.7746828461114176,0.8208319318309227,0.9879737609329446,0.21871476888387825,0.2837157246782317,0.16011511544247498,0.0,,False
HistGradientBoostingClassifier,leave_one_session_out,0.7682193193537298,0.5713390955781035,0.8710183792268952,0.8444567015995588,0.8439286915573495,0.9941690962099126,0.4286609044218965,0.536094012311136,0.12898162077310485,0.0,,False
MLPClassifier_lite,leave_one_session_out,0.7289876246132692,0.5527996993611425,0.8209824056511217,0.7837837837837838,0.7925776432335464,0.9624635568513119,0.4472003006388576,0.4974818130945719,0.1790175943488783,0.0,,False
