session_id,host_wall_time_iso,host_monotonic_ns,source,mmwave_frame_num,tid,window_ready,ml_label,ml_confidence,final_label,motion_label,speed_mps,height_drop_flag,quality_flag,num_points,prob_standing,prob_sitting,prob_lying,prob_falling,frame,time_s,stand_prob,sit_prob,lying_prob,falling_prob,horizontal_speed,quality,old_display_pose,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,num_associated_points,range_m,new_display_pose,replay_reason,sit_minus_stand_margin,sitting_relative_gate_state,sitting_relative_gate_stable_count,sitting_relative_gate_required_frames,sitting_relative_gate_passed,moving_translation_displacement_m,moving_translation_confirmed
sitting_ab_default_cfg,2026-07-04T11:28:23.842-04:00,1890789359000000,mmwave,368,0,1,SITTING,0.8874518871307373,MOVING,MOVING,0.3056403421204906,1,OK,62,0.0814836770296096,0.8874518871307373,0.0109115689992904,0.0201528705656528,368,0.578,0.0814836770296096,0.8874518871307373,0.0109115689992904,0.0201528705656528,0.3056403421204906,OK,MOVING,-0.8445315957069397,0.4217550036750792,1.5911468786778,0.0144122168421745,0.3053003549575805,0.150068312883377,0,1.8500971025322919,MOVING,moving_override_translation_confirmed,0.8059682101011277,NA,0,8,False,0.18790990157017706,True
sitting_ab_default_cfg,2026-07-04T11:28:23.902-04:00,1890789421000000,mmwave,369,0,1,SITTING,0.8837715983390808,MOVING,MOVING,0.2217690464070375,1,OK,62,0.0867350473999977,0.8837715983390808,0.0107622211799025,0.0187310725450515,369,0.64,0.0867350473999977,0.8837715983390808,0.0107622211799025,0.0187310725450515,0.2217690464070375,OK,MOVING,-0.8606806993484497,0.4172430208547096,1.6078710737380335,-0.0241875126957893,0.2204460799694061,0.2045250833034515,0,1.8708587318251468,MOVING,unchanged,0.7970365509390831,WAIT,1,8,False,0.1716520155452804,False
sitting_ab_default_cfg,2026-07-04T11:28:23.964-04:00,1890789468000000,mmwave,370,0,1,SITTING,0.8920500874519348,MOVING,STATIC,0.177481478593671,0,OK,40,0.0803605318069458,0.8920500874519348,0.0108502358198165,0.016739098355174,370,0.687,0.0803605318069458,0.8920500874519348,0.0108502358198165,0.016739098355174,0.177481478593671,OK,MOVING,-0.858065664768219,0.4226221522164164,1.6119377923699076,0.0252473503351211,0.1756765395402908,0.2121905386447906,0,1.8743611218408616,MOVING,unchanged,0.811689555644989,WAIT,2,8,False,0.18438308496246356,False
sitting_ab_default_cfg,2026-07-04T11:28:24.000-04:00,1890789515000000,mmwave,371,0,1,SITTING,0.8742395043373108,MOVING,STATIC,0.2146843402165371,0,OK,40,0.0902559459209442,0.8742395043373108,0.0205248743295669,0.0149795999750494,371,0.734,0.0902559459209442,0.8742395043373108,0.0205248743295669,0.0149795999750494,0.2146843402165371,OK,MOVING,-0.8573651313781738,0.4527835478298132,1.647103301699425,0.0504574924707412,0.2086705714464187,0.3583252429962158,0,1.9112920227316423,MOVING,moving_override_translation_confirmed,0.7839835584163666,NA,0,8,False,0.257591926653245,True
sitting_ab_default_cfg,2026-07-04T11:28:24.067-04:00,1890789578000000,mmwave,372,0,1,SITTING,0.8712897896766663,MOVING,STATIC,0.1907018391320949,1,OK,50,0.0934855416417121,0.8712897896766663,0.0221034865826368,0.0131212454289197,372,0.797,0.0934855416417121,0.8712897896766663,0.0221034865826368,0.0131212454289197,0.1907018391320949,OK,MOVING,-0.8451865911483765,0.4411930836003298,1.6125112461238718,0.1110128313302993,0.1550591588020324,0.1849136799573898,0,1.8732816738947036,MOVING,unchanged,0.7778042480349542,WAIT,1,8,False,0.128730917038159,False
sitting_ab_default_cfg,2026-07-04T11:28:24.127-04:00,1890789640000000,mmwave,373,0,1,SITTING,0.8748705983161926,MOVING,STATIC,0.1684754311973729,1,OK,39,0.0926723927259445,0.8748705983161926,0.0222207568585872,0.0102362632751464,373,0.859,0.0926723927259445,0.8748705983161926,0.0222207568585872,0.0102362632751464,0.1684754311973729,OK,MOVING,-0.8349491953849792,0.4199566530099288,1.582510539832101,0.1530139297246933,0.0705032497644424,0.0421944558620452,0,1.8378910081832964,MOVING,unchanged,0.7821982055902481,WAIT,2,8,False,0.05332214225909195,False
sitting_ab_default_cfg,2026-07-04T11:28:24.177-04:00,1890789687000000,mmwave,374,0,1,SITTING,0.8748225569725037,SITTING,STATIC,0.2165874182227599,1,OK,33,0.0914228409528732,0.8748225569725037,0.0249743722379207,0.0087802428752183,374,0.906,0.0914228409528732,0.8748225569725037,0.0249743722379207,0.0087802428752183,0.2165874182227599,OK,SITTING,-0.8218759894371033,0.4480727707615843,1.6310734768931128,0.1965554058551788,0.0909729748964309,0.2342686057090759,0,1.8805983188696538,SITTING,unchanged,0.7833997160196304,WAIT,3,8,False,0.050702653327170895,False
sitting_ab_default_cfg,2026-07-04T11:28:24.231-04:00,1890789750000000,mmwave,375,0,1,SITTING,0.8564996123313904,SITTING,STATIC,0.2124693390757601,1,OK,33,0.1075319573283195,0.8564996123313904,0.0309281777590513,0.0050402805209159,375,0.969,0.1075319573283195,0.8564996123313904,0.0309281777590513,0.0050402805209159,0.2124693390757601,OK,SITTING,-0.8155989050865173,0.4338825806678646,1.62390491493215,0.2109269201755523,0.0255549289286136,0.1780243515968322,0,1.868294099044935,SITTING,unchanged,0.7489676550030708,WAIT,4,8,False,0.04535711244660892,False
sitting_ab_default_cfg,2026-07-04T11:28:24.298-04:00,1890789812000000,mmwave,376,0,1,SITTING,0.8615425825119019,SITTING,STATIC,0.2108189065758405,0,OK,35,0.101849541068077,0.8615425825119019,0.0327456630766391,0.0038621481508016,376,1.031,0.101849541068077,0.8615425825119019,0.0327456630766391,0.0038621481508016,0.2108189065758405,OK,SITTING,-0.8124386668205261,0.4378718099447108,1.6674855636368733,0.2100210487842559,-0.018324039876461,0.3016990423202514,0,1.9058584454850658,SITTING,unchanged,0.7596930414438249,WAIT,5,8,False,0.07941491073875144,False
sitting_ab_default_cfg,2026-07-04T11:28:24.335-04:00,1890789843000000,mmwave,377,0,1,SITTING,0.8473984599113464,SITTING,MOVING,0.2341618034317205,1,OK,33,0.1146967560052871,0.8473984599113464,0.0338541232049465,0.0040507167577743,377,1.062,0.1146967560052871,0.8473984599113464,0.0338541232049465,0.0040507167577743,0.2341618034317205,OK,SITTING,-0.8202614784240723,0.3918882851930918,1.6377198319574382,0.1835624873638153,-0.1453841924667358,0.1543056517839431,0,1.8731074632932108,SITTING,unchanged,0.7327017039060594,WAIT,6,8,False,0.055122052326118644,False
