segment_id,expected_pose,expected_distance_m,start_time_s,end_time_s,duration_s,segmentation_method,confidence,notes
sitting_2m,SITTING,2.0,106.578,176.719,70.14099999999999,auto_range_plateau_trimmed,1.0,raw=101.58-181.72s; tol=0.45m; samples=1448
sitting_3m,SITTING,3.0,188.734,267.453,78.71899999999997,auto_range_plateau_trimmed,1.0,raw=183.73-272.45s; tol=0.45m; samples=1610
sitting_4m,SITTING,4.0,279.453,340.75,61.297000000000025,auto_range_plateau_trimmed,0.7355640000000002,raw=274.45-345.75s; tol=0.75m; samples=1293
