segment_id,expected_distance_m,default_tracking_presence_rate,static_tracking_presence_rate,delta_tracking_presence_rate,default_extra_track_rate,static_extra_track_rate,delta_extra_track_rate,default_tid_switch_count,static_tid_switch_count,delta_tid_switch_count,default_range_mae,static_range_mae,delta_range_mae,default_range_jitter_p95_m,static_range_jitter_p95_m,delta_range_jitter_p95_m
sitting_2m,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533977864214288,0.0640478115260745,0.010650025104645702,0.098241541865077,0.1418217199538272,0.0435801780887502
sitting_3m,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2031485361100416,0.0391485064981942,-0.1640000296118474,0.2653397211426922,0.0576786722154465,-0.2076610489272457
sitting_4m,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5581436139050417,0.0994331420906703,-0.4587104718143714,0.5662191569260693,0.0396097623173982,-0.5266093946086711
