segment_id,expected_distance_m,default_NO_POINTS_rate,static_NO_POINTS_rate,delta_NO_POINTS_rate,default_mean_geom_pts,static_mean_geom_pts,delta_mean_geom_pts,default_geom_pts_ge_3_rate,static_geom_pts_ge_3_rate,delta_geom_pts_ge_3_rate,verdict
sitting_2m,2.0,0.8800940438871473,0.7067812798471824,-0.17331276403996487,0.64576802507837,2.13323782234957,1.4874697972712,,,,GEOMETRY_IMPROVED_MODEL_STILL_WRONG
sitting_3m,3.0,0.5925925925925926,0.5597306689834927,-0.0328619236090999,1.806429070580014,0.9776281494352737,-0.8288009211447402,,,,STATIC_RETENTION_TRACKING_REGRESSION
sitting_4m,4.0,0.884304932735426,0.514792899408284,-0.369512033327142,0.2609865470852018,1.4508136094674555,1.1898270623822538,,,,STATIC_RETENTION_TRACKING_REGRESSION
