segment_id,expected_pose,expected_distance_m,expected_person_count,frames_total,frames_with_any_target,frames_with_primary_target,tracking_presence_rate,dropout_frames,dropout_rate,longest_dropout_s,mean_range_m,median_range_m,std_range_m,mae_range_m,rmse_range_m,bias_m,p50_abs_error_m,p90_abs_error_m,p95_abs_error_m,std_x_m,std_y_m,std_z_m,range_jitter_p95_m,xy_jitter_m,unique_tids,primary_tid,tid_switch_count,tid_switch_rate_per_min,mean_tid_lifetime_s,fragmentation_count,mean_active_tracks,max_active_tracks,frames_with_extra_tracks,extra_track_rate,ghost_track_count,ghost_frames,ghost_duration_s,ghost_nearest_distance_to_primary_m,presence_component,range_component,ghost_component,id_switch_component,dropout_component,jitter_component,tracking_score
sitting_2m,SITTING,2.0,1,1276,1276,1276,1.0,0,0.0,0.0,1.952485921461766,1.9542022701711588,0.04132156627539754,0.05339778642142885,0.06295809205109965,-0.04751407853823402,0.046832960224142184,0.0512774980621713,0.14403927169391828,0.022460223341254207,0.04071019744641978,0.0684919305828487,0.09824154186507705,0.023290488335504067,1,0,0,0.0,70.14099999999999,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9466022135785711,1.0,1.0,1.0,0.8035169162698459,97.6826399208135
sitting_3m,SITTING,3.0,1,1431,1431,1431,1.0,0,0.0,0.0,2.8041662497218933,2.78598291781691,0.12925286308595005,0.20314853611004166,0.23461774399825905,-0.19583375027810654,0.2140170821830898,0.36431550980075,0.36431550980075,0.04942208942912706,0.12910486208768762,0.1411627181224363,0.2653397211426922,0.12410428969437906,1,0,0,0.0,78.60899999999998,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.7968514638899583,1.0,1.0,1.0,0.46932055771461556,92.26788938582203
sitting_4m,SITTING,4.0,1,1115,1115,1115,1.0,0,0.0,0.0,3.4418563860949583,3.3277747401681768,0.1749121051158556,0.5581436139050417,0.5848855439098499,-0.5581436139050417,0.6722252598318232,0.6779657870684814,0.6851651059441606,0.1754567935768551,0.17737910374441457,0.20299662126790805,0.5662191569260693,0.2030267729710189,1,0,0,0.0,61.297000000000025,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.44185638609495825,1.0,1.0,1.0,0.0,81.04640965237395
