segment_id,expected_order,expected_pose,expected_distance_m,start_time_s,end_time_s,duration_s,segmentation_method,confidence,notes,method,start_frame,end_frame
sitting_2m,4,SITTING,2.0,106.578,176.719,70.14099999999999,auto_range_plateau_trimmed,1.0,,manual,1943.0,3218.0
sitting_3m,5,SITTING,3.0,188.734,267.453,78.71899999999997,auto_range_plateau_trimmed,1.0,,manual,3437.0,4867.0
sitting_4m,6,SITTING,4.0,279.453,340.75,61.297000000000025,auto_range_plateau_trimmed,1.0,,manual,5086.0,6200.0
