cfg_name,segment_id,expected_pose,expected_distance_m,tid,frames_seen,presence_rate_within_segment,mean_range_m,median_range_m,range_std_m,range_mae_vs_expected_m,mean_x_m,mean_y_m,std_x_m,std_y_m,mean_z_m,mean_geom_pts,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,assoc_target_index_rate,assoc_nearest_rate,assoc_auto_none_rate,display_standing_rate,display_sitting_rate,display_moving_rate,display_unknown_rate,mean_stand_prob,mean_sit_prob,mean_stand_minus_sit_margin,frames_stand_prob_gt_sit_prob,frames_sit_prob_gt_stand_prob,sit_prob_gt_stand_prob_rate,mismatch_rate,mean_points_total,mean_geom_to_total_ratio,rendered_rate_if_available,confirmed_rate_if_available,suspect_rate_if_available
default_cfg,sitting_2m,SITTING,2.0,0,1276,1.0,1.952485921461766,1.9542022701711588,0.04132156627539754,0.05339778642142885,-0.06613647186238941,1.951249160581262,0.022460223341254207,0.04071019744641978,0.8801542486587598,0.64576802507837,0.8800940438871473,0.06974921630094044,0.048589341692789965,,,,0.07601880877742946,0.9239811912225705,0.0,0.0,0.33228331900272534,0.5672929306809431,-0.23500961167821777,63,1213,0.950626959247649,0.03134796238244514,1.1496865203761755,0.44679999885624055,,,
default_cfg,sitting_3m,SITTING,3.0,0,1431,1.0,2.8041662497218933,2.78598291781691,0.12925286308595005,0.20314853611004166,-0.15013813932610456,2.7997150336479737,0.04942208942912706,0.12910486208768762,0.8496054475728012,1.806429070580014,0.5925925925925926,0.283717679944095,0.11320754716981132,,,,0.48427672955974843,0.4912648497554158,0.016771488469601678,0.007686932215234102,0.36888637652413714,0.5435418387566473,-0.17465546223251013,581,850,0.593990216631726,0.19007686932215234,2.7016072676450036,0.6936590321425197,,,
default_cfg,sitting_4m,SITTING,4.0,0,1115,1.0,3.4418563860949583,3.3277747401681768,0.1749121051158556,0.5581436139050417,0.1582882204030394,3.43361244505688,0.1754567935768551,0.17737910374441457,0.23165777314473818,0.2609865470852018,0.884304932735426,0.11031390134529148,0.0017937219730941704,,,,0.3883408071748879,0.5946188340807175,0.008968609865470852,0.008071748878923767,0.2266120245605039,0.5219618517187145,-0.2953498271582105,85,1030,0.9237668161434978,0.3291479820627803,0.6035874439461884,0.36198991576898554,,,
static_retention_cfg,sitting_2m,SITTING,2.0,0,2094,1.0,1.9362555791677822,1.948478327273152,0.05176676495675182,0.0640478115260745,-0.030428107373276062,1.9358578988351962,0.024468306858340266,0.05191711593281228,0.8930641605572679,2.13323782234957,0.7067812798471824,0.20916905444126074,0.03581661891117478,,,,0.6809933142311366,0.04011461318051576,0.0052531041069723014,0.27363896848137537,0.47209829518904173,0.26248872903409814,0.20960956615494358,1554,540,0.25787965616045844,0.23543457497612225,5.669054441260745,0.1938066254505462,,,
static_retention_cfg,sitting_3m,SITTING,3.0,0,2302,1.0,3.0039142623984962,3.012956396008753,0.048188385410041445,0.03914850649819427,-0.146819702394106,3.000241029780656,0.02123210421265828,0.048684381407602194,0.8356040150407547,0.7819287576020851,0.8331885317115552,0.13032145960034752,0.016941789748045177,,,,0.9257167680278019,0.0034752389226759338,0.006081668114682885,0.06472632493483926,0.5963877325207577,0.28579960370494567,0.31058812881581205,2103,199,0.08644656820156386,0.0842745438748914,2.719808861859253,0.14928200004215303,,,
static_retention_cfg,sitting_3m,SITTING,3.0,5,2302,1.0,5.142950311412398,5.138458851388588,0.013782786349064824,2.142950311412398,-1.3860090279662018,4.952632775089423,0.02016245492326161,0.011360718086406917,0.2508014361615963,1.1733275412684623,0.28627280625543006,0.7137271937445699,0.0,,,,0.004344048653344918,0.8857515204170286,0.0,0.10990443092962641,0.210281323068666,0.5797150478860951,-0.3694337248174291,39,2263,0.9830582102519548,0.10773240660295395,2.719808861859253,0.7035263669296304,,,
static_retention_cfg,sitting_4m,SITTING,4.0,0,1352,1.0,3.902102561372631,3.8994139693035197,0.023080837132378025,0.0994331420906703,-0.22819587853930054,3.8951728550691325,0.0442188241132931,0.023202168917973023,0.5399362143546589,1.6560650887573964,0.7847633136094675,0.14127218934911243,0.02514792899408284,,,,0.6486686390532544,0.0,0.008875739644970414,0.34245562130177515,0.48783722284564074,0.39410056466837384,0.0937366581772669,969,383,0.28328402366863903,0.28328402366863903,3.5791420118343193,0.20206000255025866,,,
static_retention_cfg,sitting_4m,SITTING,4.0,5,1352,1.0,5.123270211394868,5.122956986706061,0.005311425292828071,1.1232702113948683,-1.3661966270949009,4.937720915926273,0.017156683104681963,0.007119361409001286,0.2340900884813132,1.2455621301775148,0.2448224852071006,0.7551775147928994,0.0,,,,0.03254437869822485,0.8461538461538461,0.0,0.12130177514792899,0.20140454878744024,0.5993412155106929,-0.39793666672325256,25,1327,0.981508875739645,0.14571005917159763,3.5791420118343193,0.6682040443430868,,,
