segment_id,tid,frames,start_time_s,end_time_s,duration_s,mean_range_m,ghost_reason
standing_3m,1,12,121.454,122.11,0.6560000000000059,5.035369992310935,geom_pts_0
leanback_1m,4,12,237.094,237.579,0.48500000000001364,4.898235925502063,geom_pts_0
leanback_1m,5,10,237.813,238.282,0.4690000000000225,4.85268943135727,geom_pts_0
