expected_pose,expected_distance_m,quality_bucket,frames,accuracy,standing_rate,sitting_rate,mean_stand_prob,mean_sit_prob
STANDING,1.0,NO_POINTS,243,0.9958847736625515,0.9958847736625515,0.00411522633744856,0.7025008031124931,0.2486108174171958
STANDING,1.0,LOW_POINTS,388,0.8994845360824743,0.8994845360824743,0.06958762886597938,0.6349677415852694,0.3021887640286352
STANDING,1.0,HAS_POINTS,84,0.4166666666666667,0.4166666666666667,0.05952380952380952,0.4087678421111334,0.3193929991241367
STANDING,2.0,NO_POINTS,474,0.989451476793249,0.989451476793249,0.010548523206751054,0.7108562111162938,0.23251508038003738
STANDING,2.0,LOW_POINTS,179,0.8715083798882681,0.8715083798882681,0.07262569832402235,0.5763748875876379,0.3427352571662245
STANDING,2.0,HAS_POINTS,137,0.072992700729927,0.072992700729927,0.072992700729927,0.371469797593725,0.3527448541694236
STANDING,3.0,NO_POINTS,564,0.9964539007092199,0.9964539007092199,0.0,0.7863629760207437,0.16140256894105082
STANDING,3.0,LOW_POINTS,135,0.8814814814814815,0.8814814814814815,0.0,0.615417077254366,0.3117830793545754
STANDING,3.0,HAS_POINTS,106,0.44339622641509435,0.44339622641509435,0.0,0.4711089098017733,0.30975093650368024
STANDING,4.0,NO_POINTS,602,0.9900332225913622,0.9900332225913622,0.0,0.8236093303293881,0.12884283685852518
STANDING,4.0,LOW_POINTS,78,0.48717948717948717,0.48717948717948717,0.0,0.694880465284372,0.17820564496259275
STANDING,4.0,HAS_POINTS,52,0.25,0.25,0.0,0.5900861540665994,0.11944495349262765
SITTING,1.0,NO_POINTS,668,0.6017964071856288,0.37425149700598803,0.6017964071856288,0.36934448432311145,0.5338045796212143
SITTING,1.0,LOW_POINTS,223,0.6143497757847534,0.2825112107623318,0.6143497757847534,0.26601254449209255,0.6257060292206137
SITTING,1.0,HAS_POINTS,135,0.1037037037037037,0.05925925925925926,0.1037037037037037,0.10292780414154681,0.44843037839702987
SITTING,2.0,NO_POINTS,258,0.9922480620155039,0.0,0.9922480620155039,0.42717904990986566,0.4835414471783379
SITTING,2.0,LOW_POINTS,38,0.42105263157894735,0.0,0.42105263157894735,0.1273217110428959,0.7838188684300372
SITTING,2.0,HAS_POINTS,116,0.3448275862068966,0.0,0.3448275862068966,0.05177579018094668,0.7083903362268004
SITTING,3.0,NO_POINTS,225,0.16444444444444445,0.7822222222222223,0.16444444444444445,0.5437233964715981,0.3836095209254159
SITTING,3.0,LOW_POINTS,124,0.3951612903225806,0.4435483870967742,0.3951612903225806,0.29513408872017244,0.568885907185294
SITTING,3.0,HAS_POINTS,102,0.4215686274509804,0.13725490196078433,0.4215686274509804,0.09599839395377781,0.7550628849250429
SITTING,4.0,NO_POINTS,300,0.02,0.9533333333333334,0.02,0.6630631644232199,0.26635281077275674
SITTING,4.0,LOW_POINTS,148,0.1891891891891892,0.6418918918918919,0.1891891891891892,0.3768675710732193,0.4723870033851346
SITTING,4.0,HAS_POINTS,76,0.21052631578947367,0.18421052631578946,0.21052631578947367,0.13441318845204808,0.5788025498439214
