session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes,duration_s,expected_frames,track_frames,pose_frames,tracking_presence_rate,pose_presence_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,gap_count_gt_1s,tid_switch_count,range_jump_count,ui_visible_rate,render_confirmed,segment_quality
session_20260703_205540,standing_1m,center,STANDING,STANDING,1.0,CENTER,4.000,50.500,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=863; dominant_tid_ratio=1.000; tid_counts={0: 844},46.5,828,844,844,1.0193,1.0193,0.3697,0.9609,0.0344,0,0,0,0.0,False,HIGH
session_20260703_205540,standing_2m,center,STANDING,STANDING,2.0,CENTER,60.516,103.954,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=812; dominant_tid_ratio=1.000; tid_counts={0: 790},43.438,790,790,790,1.0,1.0,0.7228,0.9924,0.0076,0,0,0,0.0,False,HIGH
session_20260703_205540,standing_3m,center,STANDING,STANDING,3.0,CENTER,113.969,157.641,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=803; dominant_tid_ratio=1.000; tid_counts={0: 793},43.672,793,793,793,1.0,1.0,0.9092,1.0,0.0,0,0,0,0.0,False,HIGH
session_20260703_205540,standing_4m,center,STANDING,STANDING,4.0,CENTER,167.688,208.032,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=719; dominant_tid_ratio=1.000; tid_counts={0: 739},40.344,732,739,739,1.0096,1.0096,0.9648,1.0,0.0,0,0,0,0.0,False,HIGH
session_20260703_205540,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,228.625,290.922,HIGH,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=1096; dominant_tid_ratio=1.000; tid_counts={3: 1130},62.297,1129,1130,1130,1.0009,1.0009,0.723,0.9425,0.0469,0,0,0,0.0,False,HIGH
session_20260703_205540,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,300.954,323.641,LOW,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=504; dominant_tid_ratio=1.000; tid_counts={3: 416},22.687,412,416,416,1.0097,1.0097,1.0,1.0,0.0,0,0,0,0.0,False,LOW
session_20260703_205540,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,389.313,414.329,LOW,6,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=522; dominant_tid_ratio=1.000; tid_counts={6: 454},25.016,451,454,454,1.0067,1.0067,0.7291,0.9207,0.0793,0,0,0,0.0,False,LOW
session_20260703_205540,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,474.907,506.735,MEDIUM,7,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=602; dominant_tid_ratio=1.000; tid_counts={7: 556},31.828,562,556,556,0.9893,0.9893,0.6853,0.9496,0.0162,0,0,0,0.0,False,MEDIUM
sitting_ab_default_cfg,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,4.000,77.719,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; corrected protocol includes 1m; auto range plateau tol=0.35m samples=1447; dominant_tid_ratio=1.000; tid_counts={0: 1341},73.719,1340,1341,1341,1.0007,1.0007,0.8292,0.953,0.0433,0,0,0,0.0,False,HIGH
sitting_ab_default_cfg,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,87.734,158.234,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=1397; dominant_tid_ratio=1.000; tid_counts={0: 1282},70.5,1283,1282,1282,0.9992,0.9992,0.8721,0.9376,0.0608,0,0,0,0.0,False,HIGH
