session_id,segment_id,person_slot,assigned_tid,event_type,severity,start_time_s,end_time_s,detail
sitting_ab_static_retention_cfg,leanback_4m,center,0,NO_POINTS,MEDIUM,355.563,432.563,NO_POINTS_rate=0.771
sitting_ab_static_retention_cfg,leanback_4m,center,0,LOW_POINTS,LOW,355.563,432.563,LOW_POINTS_rate=0.919
sitting_ab_static_retention_cfg,leanback_4m,center,0,RENDER_NOT_CONFIRMED,LOW,355.563,432.563,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,standing_1m,center,1,NO_POINTS,MEDIUM,25.506,78.687,NO_POINTS_rate=0.225
sitting_relative_gate_refined_live_test,standing_1m,center,1,LOW_POINTS,LOW,25.506,78.687,LOW_POINTS_rate=0.873
sitting_relative_gate_refined_live_test,standing_1m,center,1,RENDER_NOT_CONFIRMED,LOW,25.506,78.687,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,standing_2m,center,1,NO_POINTS,MEDIUM,88.768,149.030,NO_POINTS_rate=0.658
sitting_relative_gate_refined_live_test,standing_2m,center,1,LOW_POINTS,LOW,88.768,149.030,LOW_POINTS_rate=0.990
sitting_relative_gate_refined_live_test,standing_2m,center,1,RENDER_NOT_CONFIRMED,LOW,88.768,149.030,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,standing_3m,center,1,NO_POINTS,MEDIUM,168.960,231.854,NO_POINTS_rate=0.736
sitting_relative_gate_refined_live_test,standing_3m,center,1,LOW_POINTS,LOW,168.960,231.854,LOW_POINTS_rate=0.966
sitting_relative_gate_refined_live_test,standing_3m,center,1,RENDER_NOT_CONFIRMED,LOW,168.960,231.854,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,standing_4m,center,1,NO_POINTS,MEDIUM,241.856,268.823,NO_POINTS_rate=0.974
sitting_relative_gate_refined_live_test,standing_4m,center,1,LOW_POINTS,LOW,241.856,268.823,LOW_POINTS_rate=1.000
sitting_relative_gate_refined_live_test,standing_4m,center,1,RENDER_NOT_CONFIRMED,LOW,241.856,268.823,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,standing_5m,center,2,NO_POINTS,MEDIUM,314.926,377.169,NO_POINTS_rate=0.924
sitting_relative_gate_refined_live_test,standing_5m,center,2,LOW_POINTS,LOW,314.926,377.169,LOW_POINTS_rate=1.000
sitting_relative_gate_refined_live_test,standing_5m,center,2,RENDER_NOT_CONFIRMED,LOW,314.926,377.169,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanback_1m,center,4,NO_POINTS,MEDIUM,406.980,435.014,NO_POINTS_rate=0.888
sitting_relative_gate_refined_live_test,leanback_1m,center,4,LOW_POINTS,LOW,406.980,435.014,LOW_POINTS_rate=1.000
sitting_relative_gate_refined_live_test,leanback_1m,center,4,RENDER_NOT_CONFIRMED,LOW,406.980,435.014,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanback_2m,center,4,NO_POINTS,MEDIUM,471.363,497.291,NO_POINTS_rate=0.951
sitting_relative_gate_refined_live_test,leanback_2m,center,4,LOW_POINTS,LOW,471.363,497.291,LOW_POINTS_rate=0.992
sitting_relative_gate_refined_live_test,leanback_2m,center,4,RENDER_NOT_CONFIRMED,LOW,471.363,497.291,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanback_3m,center,6,NO_POINTS,MEDIUM,555.618,584.079,NO_POINTS_rate=0.940
sitting_relative_gate_refined_live_test,leanback_3m,center,6,LOW_POINTS,LOW,555.618,584.079,LOW_POINTS_rate=0.998
sitting_relative_gate_refined_live_test,leanback_3m,center,6,RENDER_NOT_CONFIRMED,LOW,555.618,584.079,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanback_4m,center,8,NO_POINTS,MEDIUM,637.990,674.837,NO_POINTS_rate=0.987
sitting_relative_gate_refined_live_test,leanback_4m,center,8,LOW_POINTS,LOW,637.990,674.837,LOW_POINTS_rate=0.999
sitting_relative_gate_refined_live_test,leanback_4m,center,8,RENDER_NOT_CONFIRMED,LOW,637.990,674.837,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanback_5m,center,9,NO_POINTS,MEDIUM,712.573,746.749,NO_POINTS_rate=0.998
sitting_relative_gate_refined_live_test,leanback_5m,center,9,LOW_POINTS,LOW,712.573,746.749,LOW_POINTS_rate=1.000
sitting_relative_gate_refined_live_test,leanback_5m,center,9,RENDER_NOT_CONFIRMED,LOW,712.573,746.749,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,upright_1m,center,10,NO_POINTS,MEDIUM,789.929,855.717,NO_POINTS_rate=0.640
