segment_id,expected_pose,expected_distance_m,mean_stand_prob,median_stand_prob,p10_stand_prob,p90_stand_prob,mean_sit_prob,median_sit_prob,p10_sit_prob,p90_sit_prob,mean_margin_stand_minus_sit,median_margin_stand_minus_sit,frames_stand_prob_gt_sit_prob,frames_sit_prob_gt_stand_prob
standing_1m,STANDING,1.0,0.6585164146737819,0.681851327419281,0.4679256975650787,0.8071874976158142,0.291524002705615,0.2672724723815918,0.14811950027942652,0.4796373963356018,0.36699241196816684,0.41307857632637024,727,88
standing_2m,STANDING,2.0,0.7411613384830117,0.7390885949134827,0.6042836308479309,0.8627148866653442,0.2046711247714539,0.2036099135875702,0.0974939733743667,0.3259925007820129,0.5364902137115578,0.5356476604938507,746,11
standing_3m,STANDING,3.0,0.8001523620666976,0.8135269284248352,0.7566069722175598,0.8462411165237427,0.15045191958903315,0.1394541710615158,0.1120580658316612,0.18828167468309398,0.6497004424776645,0.6740727573633194,744,8
standing_4m,STANDING,4.0,0.8225238129602256,0.8292367458343506,0.8191844701766968,0.8422666192054749,0.1294961779886949,0.1222337335348129,0.1185684651136398,0.14078906774520872,0.6930276349715307,0.7070030122995377,705,0
sitting_1m,SITTING,1.0,0.32867417606078425,0.3771441876888275,0.09512692391872404,0.4710652768611908,0.5845142493150892,0.5284150242805481,0.43384386897087096,0.8270406603813172,-0.25584007325430497,-0.152456283569336,176,929
sitting_2m,SITTING,2.0,0.3379895770016851,0.3611790537834167,0.10930786356329919,0.508600652217865,0.5655720464557948,0.5371032357215881,0.3983154296875,0.7706996917724611,-0.22758246945410976,-0.17592418193817144,113,661
sitting_3m,SITTING,3.0,0.3608604644236277,0.216000497341156,0.10873885825276375,0.6760488152503967,0.4979270594041856,0.5580858588218689,0.2606315612792969,0.7327629923820496,-0.13706659498055787,-0.3420853614807129,340,636
sitting_4m,SITTING,4.0,0.5594226887201987,0.62786865234375,0.2627384841442108,0.7723290920257568,0.33389442454779483,0.2851841598749161,0.1781695783138275,0.5653593301773071,0.2255282641724039,0.3477530479431153,733,305
