segment_id,expected_pose,expected_distance_m,expected_person_count,frames_total,frames_with_any_target,frames_with_primary_target,tracking_presence_rate,dropout_frames,dropout_rate,longest_dropout_s,mean_range_m,median_range_m,std_range_m,mae_range_m,rmse_range_m,bias_m,p50_abs_error_m,p90_abs_error_m,p95_abs_error_m,std_x_m,std_y_m,std_z_m,range_jitter_p95_m,xy_jitter_m,unique_tids,primary_tid,tid_switch_count,tid_switch_rate_per_min,mean_tid_lifetime_s,fragmentation_count,mean_active_tracks,max_active_tracks,frames_with_extra_tracks,extra_track_rate,ghost_track_count,ghost_frames,ghost_duration_s,ghost_nearest_distance_to_primary_m,presence_component,range_component,ghost_component,id_switch_component,dropout_component,jitter_component,tracking_score
standing_1m,STANDING,1.0,1,815,815,815,1.0,0,0.0,0.0,0.9934543437442761,0.9911605230255972,0.017602163490247617,0.015283274178782268,0.018769699206129684,-0.00654565625572381,0.014020067973308015,0.030663847472238652,0.0368817653070207,0.015587148116017102,0.017673529435626518,0.06921903160312327,0.03437810919671006,0.021164975363200736,1,0,0,0.0,44.766,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9847167258212177,1.0,1.0,1.0,0.9312437816065798,99.27413705356334
standing_2m,STANDING,2.0,1,757,757,757,1.0,0,0.0,0.0,1.9342766232799637,1.9305804098085348,0.010734915099822767,0.06572337672003623,0.06659315594937817,-0.06572337672003623,0.06941959019146515,0.07768029827212031,0.07803690957259457,0.01064289296719912,0.011305827065662574,0.09895865595453382,0.02130838187559103,0.014653597329306798,1,0,0,0.0,41.45399999999999,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9342766232799637,1.0,1.0,1.0,0.9573832362488179,98.14383176324318
standing_3m,STANDING,3.0,1,752,752,752,1.0,0,0.0,0.0,2.958098917058722,2.9567182705697306,0.006486589624559909,0.04190108294127775,0.04239953590179731,-0.04190108294127775,0.04328172943026942,0.049172846847279406,0.049172846847279406,0.018039401831283938,0.007148380945574528,0.05014750050549265,0.009804362798247368,0.017263813563872014,1,0,0,0.0,41.485000000000014,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9580989170587223,1.0,1.0,1.0,0.9803912744035053,98.85442929848558
standing_4m,STANDING,4.0,1,705,705,705,1.0,0,0.0,0.0,3.967390314359125,3.9799837321444334,0.019878211814271397,0.03260968564087591,0.03818343116552566,-0.03260968564087591,0.02001626785556665,0.06887671118939442,0.06887671118939442,0.028595867733092167,0.02090394660254359,0.021509744091181563,0.048860443333827774,0.029772547374588933,1,0,0,0.0,38.375,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.967390314359124,1.0,1.0,1.0,0.9022791133323445,98.69615342563982
sitting_1m,SITTING,1.0,1,1105,1105,1105,1.0,0,0.0,0.0,1.1075414778777442,1.0827825608605497,0.0756312387477801,0.11631414744723337,0.1314537074098646,0.10754147787774422,0.08368223195267066,0.17070445341681828,0.17754433022781435,0.03880428268316937,0.07684761300054135,0.04559794046551584,0.10352041230724829,0.06402913155628734,1,3,0,0.0,60.85900000000001,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8836858525527667,1.0,1.0,1.0,0.7929591753855034,96.05694219074668
sitting_2m,SITTING,2.0,1,774,774,774,1.0,0,0.0,0.0,2.0822837427144707,2.0562049267912568,0.07948941498268824,0.09127172860717588,0.11437227761137578,0.0822837427144708,0.05620492679125677,0.16961493942723002,0.1767226617393358,0.037538946551135155,0.07895703312032495,0.06096233473402777,0.1242922777931413,0.0653994276773271,1,6,0,0.0,42.531000000000006,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.9087282713928241,1.0,1.0,1.0,0.7514154444137174,96.4752840068892
sitting_3m,SITTING,3.0,1,976,976,976,1.0,0,0.0,0.0,2.7872143555527216,2.8830093047506926,0.2587788784034966,0.2590602174732986,0.33492629810944974,-0.21278564444727852,0.13499954852135332,0.4892664689485433,0.4892664689485433,0.21342358843758957,0.25207650667060494,0.2375346522129939,0.3722757736992359,0.32351686662421136,1,6,0,0.0,53.031000000000006,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.7409397825267015,1.0,1.0,1.0,0.25544845260152815,89.80073682617517
sitting_4m,SITTING,4.0,1,1038,1038,1038,1.0,0,0.0,0.0,3.831246898030489,3.8567625548751385,0.17741343203356472,0.18050125792960053,0.24479136432402004,-0.16875310196951115,0.1432374451248617,0.48461849225337605,0.5228522761452754,0.045603605946090385,0.18008976405672505,0.1587466071274302,0.37961483102041393,0.161932995581437,1,7,0,0.0,59.56299999999999,0,1.0,1.0,0,0.0,0,0,NA,NA,1.0,0.8194987420703994,1.0,1.0,1.0,0.24077033795917213,91.69132024155584
