segment_id,expected_pose,distance,quality_bucket,frames,accuracy,display_standing_rate,display_sitting_rate,mean_stand_prob,mean_sit_prob,mean_margin,mean_geom_pts,geom_pts_ge_1_rate,geom_pts_ge_3_rate
standing_1m,STANDING,1.0,HAS_POINTS,78,0.46153846153846156,0.46153846153846156,0.0641025641025641,0.4479881227016449,0.34825051989024264,0.09973760281140223,13.85897435897436,1.0,1.0
standing_1m,STANDING,1.0,LOW_POINTS,458,0.9148471615720524,0.9148471615720524,0.05895196506550218,0.6303979869622851,0.308413865866229,0.3219841210960561,2.460698689956332,1.0,0.5152838427947598
standing_1m,STANDING,1.0,NO_POINTS,277,0.9963898916967509,0.9963898916967509,0.0036101083032490976,0.6915098090894816,0.2590625624471623,0.4324472466423193,0.0,0.0,0.0
standing_2m,STANDING,2.0,HAS_POINTS,61,0.0,0.0,0.16393442622950818,0.5278545073309883,0.24354756423501206,0.2843069430959762,15.278688524590164,1.0,1.0
standing_2m,STANDING,2.0,LOW_POINTS,178,0.9269662921348315,0.9269662921348315,0.07303370786516854,0.6758654841713692,0.2647540781521395,0.4111114060192296,2.0280898876404496,1.0,0.2640449438202247
standing_2m,STANDING,2.0,NO_POINTS,516,0.9903100775193798,0.9903100775193798,0.009689922480620155,0.7283648753524289,0.21583681663339452,0.5125280587190344,0.0,0.0,0.0
standing_3m,STANDING,3.0,HAS_POINTS,17,1.0,1.0,0.0,0.4367718310917125,0.4699711786473499,-0.03319934755563736,11.764705882352942,1.0,1.0
standing_3m,STANDING,3.0,LOW_POINTS,107,1.0,1.0,0.0,0.6039765031538277,0.3284274257336543,0.2755490774201734,2.3551401869158877,1.0,0.45794392523364486
standing_3m,STANDING,3.0,NO_POINTS,628,1.0,1.0,0.0,0.7938103494086083,0.15627502115550124,0.6375353282531071,0.0,0.0,0.0
standing_4m,STANDING,4.0,HAS_POINTS,1,0.0,0.0,0.0,0.830836296081543,0.0428971126675605,0.7879391834139825,5.0,1.0,1.0
standing_4m,STANDING,4.0,LOW_POINTS,41,0.6585365853658537,0.6585365853658537,0.0,0.7402249720038437,0.15305606557465176,0.587168906429192,1.7560975609756098,1.0,0.17073170731707318
standing_4m,STANDING,4.0,NO_POINTS,661,0.9909228441754917,0.9909228441754917,0.0,0.8240649637043386,0.12780690892020438,0.6962580547841342,0.0,0.0,0.0
sitting_1m,SITTING,1.0,HAS_POINTS,112,0.125,0.07142857142857142,0.125,0.09417996603380221,0.5268713611855803,-0.4326913951517781,10.776785714285714,1.0,0.9732142857142857
sitting_1m,SITTING,1.0,LOW_POINTS,248,0.6774193548387096,0.2540322580645161,0.6774193548387096,0.2654645483623514,0.6426051943187392,-0.37714064595638774,1.9959677419354838,1.0,0.31451612903225806
sitting_1m,SITTING,1.0,NO_POINTS,748,0.6443850267379679,0.3342245989304813,0.6443850267379679,0.3610059899990173,0.5429076418818478,-0.18190165188283047,0.0,0.0,0.0
sitting_2m,SITTING,2.0,HAS_POINTS,96,0.14583333333333334,0.2604166666666667,0.14583333333333334,0.243874250377606,0.3806654801968155,-0.13679122981920955,9.697916666666666,1.0,1.0
sitting_2m,SITTING,2.0,LOW_POINTS,73,0.3150684931506849,0.4794520547945205,0.3150684931506849,0.25717251305149436,0.6156442397280456,-0.35847172667655125,2.493150684931507,1.0,0.4657534246575342
sitting_2m,SITTING,2.0,NO_POINTS,600,0.8016666666666666,0.17166666666666666,0.8016666666666666,0.3783020901897301,0.5246729076902071,-0.14637081750047704,0.0,0.0,0.0
sitting_3m,SITTING,3.0,HAS_POINTS,74,0.14864864864864866,0.2702702702702703,0.14864864864864866,0.12370706908090186,0.7245258483532313,-0.6008187792723294,8.094594594594595,1.0,1.0
sitting_3m,SITTING,3.0,LOW_POINTS,142,0.2323943661971831,0.5985915492957746,0.2323943661971831,0.2793765797502768,0.6132920101075106,-0.33391543035723376,2.6901408450704225,1.0,0.5704225352112676
sitting_3m,SITTING,3.0,NO_POINTS,755,0.4503311258278146,0.528476821192053,0.4503311258278146,0.41474329441884494,0.4472871689014877,-0.03254387448264274,0.0,0.0,0.0
sitting_4m,SITTING,4.0,HAS_POINTS,35,0.08571428571428572,0.6,0.08571428571428572,0.36388014299528937,0.36577802539936133,-0.001897882404071936,8.371428571428572,1.0,1.0
sitting_4m,SITTING,4.0,LOW_POINTS,237,0.09282700421940929,0.810126582278481,0.09282700421940929,0.44853486042108215,0.408165154232003,0.040369706189079126,2.438818565400844,1.0,0.45147679324894513
sitting_4m,SITTING,4.0,NO_POINTS,769,0.007802340702210663,0.9687906371911573,0.007802340702210663,0.5869635795333915,0.32381609871363454,0.26314748081975703,0.0,0.0,0.0
