expected_pose,expected_distance_m,quality_bucket,frames,accuracy,standing_rate,sitting_rate,mean_stand_prob,mean_sit_prob
SITTING,1.0,NO_POINTS,1066,0.5168855534709194,0.2851782363977486,0.5168855534709194,0.31605987199084173,0.34134619168580377
SITTING,1.0,LOW_POINTS,521,0.04030710172744722,0.5239923224568138,0.04030710172744722,0.3859204967897707,0.09890684705565321
SITTING,1.0,HAS_POINTS,331,0.01812688821752266,0.09969788519637462,0.01812688821752266,0.35595493965706254,0.09880724762260766
SITTING,2.0,NO_POINTS,1364,0.02785923753665689,0.6928152492668622,0.02785923753665689,0.47614425812954425,0.2673039180631176
SITTING,2.0,LOW_POINTS,431,0.06496519721577726,0.617169373549884,0.06496519721577726,0.4578185435384512,0.24476457858704498
SITTING,2.0,HAS_POINTS,273,0.03296703296703297,0.3992673992673993,0.03296703296703297,0.4165637769323566,0.1793037964105299
SITTING,3.0,NO_POINTS,2547,0.2049469964664311,0.6929721240675304,0.2049469964664311,0.5121457419008262,0.3504893650338463
SITTING,3.0,LOW_POINTS,1908,0.7169811320754716,0.15041928721174005,0.7169811320754716,0.2675062644762032,0.5215140681521503
SITTING,3.0,HAS_POINTS,198,0.025252525252525252,0.18181818181818182,0.025252525252525252,0.3113343684059201,0.1646619416253566
SITTING,4.0,NO_POINTS,1349,0.20014825796886582,0.4810971089696071,0.20014825796886582,0.4174109614827705,0.43517053639930464
SITTING,4.0,LOW_POINTS,1319,0.6497346474601972,0.1326762699014405,0.6497346474601972,0.256967520777636,0.5493096933157167
SITTING,4.0,HAS_POINTS,215,0.0,0.3674418604651163,0.0,0.48190324597580486,0.21060422582018493
