expected_distance_m_num,expected_subpose_norm,expected_position_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
1.0,SITTING_LEAN_BACK,CENTER,1327,2,6,0.5779954785229842,0.7422758100979653,0.0,0.5779954785229842,0.0,0.0,0.29540316503391106,0.0,0.5779954785229842,0.0,0.013168278141826532,0.9073367903452539,0.6547583568908372,0.920341619669326,1.5441518874266278,0.10656617071422872,1.0
1.0,SITTING_LEAN_BACK,LEFT,378,2,2,0.1402116402116402,0.6349206349206349,0.0,0.1402116402116402,0.0,0.0,0.7804232804232805,0.0,0.1402116402116402,0.0,0.018726467682190308,0.9781956456559632,0.7424935641084442,0.8554388619776764,3.164651138012515,0.6224088970914899,1.6613756613756614
1.0,SITTING_LEAN_BACK,RIGHT,395,2,2,0.9265822784810127,0.9898734177215189,0.0,0.9265822784810127,0.0,0.0,0.0,0.0,0.9265822784810127,0.0,0.024290116881722456,0.9741474584917779,0.7266164147214436,0.9014484371963226,1.2683783698418942,0.4246854579862478,1.6329113924050633
1.0,SITTING_LEAN_FORWARD,CENTER,107,1,2,0.8598130841121495,0.8598130841121495,0.0,0.8598130841121495,0.0,0.0,0.14018691588785046,0.0,0.0,0.8598130841121495,0.03728152354132504,1.0,0.8588208612701539,0.9636454659634688,0.6015860430279862,0.8727249629900145,1.0
1.0,SITTING_LEAN_FORWARD,LEFT,123,1,1,0.8292682926829268,0.7886178861788617,0.0,0.8292682926829268,0.0,0.0,0.0,0.0,0.0,0.8292682926829268,0.03222305045154852,0.9507304313138841,0.8170051090424117,0.8639694404513555,2.7625504351724497,1.1357424035769426e+19,2.0
1.0,SITTING_LEAN_FORWARD,RIGHT,126,1,1,0.746031746031746,0.8968253968253969,0.0,0.746031746031746,0.0,0.0,0.0,0.0,0.0,0.746031746031746,0.036053010175817184,0.9732952607996049,0.8314511634271714,0.8943898221618961,1.736671644396616,1.1526478265554416,2.0
1.0,SITTING_UPRIGHT,CENTER,392,1,2,0.14285714285714285,0.7040816326530612,0.0,0.14285714285714285,0.0,0.0,0.8035714285714286,0.14285714285714285,0.0,0.0,0.017338566962627096,0.9759292648155431,0.5591211321727249,0.833964422620373,2.7591776523827187,0.10448944473932441,1.0
1.0,SITTING_UPRIGHT,LEFT,222,1,1,0.5405405405405406,0.6756756756756757,0.0,0.5405405405405406,0.0,0.0,0.4369369369369369,0.5405405405405406,0.0,0.0,0.01478436279289762,1.0,0.8179426032440423,0.9801948992602495,0.49333760314849767,1.07852046135344,2.0
1.0,SITTING_UPRIGHT,RIGHT,222,1,1,0.9954954954954955,0.9819819819819819,0.0,0.9954954954954955,0.0,0.0,0.0,0.9954954954954955,0.0,0.0,0.01478436279289762,1.0,0.6334327271448991,0.9406525214135456,1.2141823671601513,1.0286340367498958,2.0
1.0,STANDING,CENTER,824,2,4,0.9223300970873787,0.5400485436893204,0.9223300970873787,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.0,0.012936395164531673,0.9878143737526722,0.25558213250258743,0.8655203186952652,3.2253182217852117,0.06487766345574654,1.0
