window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::standing_1m::center::2s::2,session_20260703_205540,standing_1m,center,0,2.0,6.0,8.0,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.3618595893768703,0.5807225997833645,0.2188630104064941,0.976388674349698,0.023611325650301995,5.911764705882353,0.1176470588235294,0.5294117647058824,0.3823529411764705,1.0,0.0,1.1333333333333333,1.1333333333333333,0,0,DEGRADED
session_20260703_205540::standing_1m::center::3s::0,session_20260703_205540,standing_1m,center,0,3.0,4.0,7.0,STANDING,STANDING,1.0,CENTER,1,SITTING,SITTING,0.382178843292323,0.5474075582894412,0.1652287149971181,0.9840458306141396,0.01595416938586036,5.563636363636364,0.0363636363636363,0.6545454545454545,0.2727272727272727,0.8909090909090909,0.0,1.0576923076923077,1.0576923076923077,1,0,DEGRADED
session_20260703_205540::standing_1m::center::3s::1,session_20260703_205540,standing_1m,center,0,3.0,5.5,8.5,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4398975281251801,0.5068367642384989,0.0669392361133186,0.9827190388749626,0.01728096112503741,4.5,0.1481481481481481,0.7037037037037037,0.2407407407407407,1.0,0.0,1.148936170212766,1.148936170212766,1,0,DEGRADED
session_20260703_205540::standing_2m::center::1s::0,session_20260703_205540,standing_2m,center,0,1.0,60.516,61.516,STANDING,STANDING,2.0,CENTER,1,SITTING,SITTING,0.2681872049967448,0.6389288024769889,0.3707415974802441,1.91376806199872,0.08623193800127993,4.666666666666667,0.1111111111111111,0.7222222222222222,0.2777777777777778,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::standing_2m::center::1s::1,session_20260703_205540,standing_2m,center,0,1.0,61.016,62.016,STANDING,STANDING,2.0,CENTER,1,SITTING,SITTING,0.426228719322305,0.5060918158606479,0.0798630965383429,1.9245079168955612,0.07549208310443878,1.2105263157894737,0.4210526315789473,1.0,0.0,1.0,0.0,1.0,1.0,1,0,DEGRADED
session_20260703_205540::standing_2m::center::2s::0,session_20260703_205540,standing_2m,center,0,2.0,60.516,62.516,STANDING,STANDING,2.0,CENTER,1,SITTING,SITTING,0.4299447586139043,0.4913721904158592,0.0614274318019549,1.9214298548864064,0.07857014511359361,2.861111111111111,0.3055555555555556,0.8611111111111112,0.1388888888888889,1.0,0.0270270270270269,0.972972972972973,0.972972972972973,1,0,DEGRADED
session_20260703_205540::standing_3m::center::1s::0,session_20260703_205540,standing_3m,center,0,1.0,113.969,114.969,STANDING,STANDING,3.0,CENTER,1,STANDING,SITTING,0.4468481102410485,0.4881404638290405,0.041292353587992,2.9298890589442106,0.07011094105578941,1.1764705882352942,0.5294117647058824,1.0,0.0,1.0,0.0555555555555555,0.9444444444444444,0.9444444444444444,0,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::0,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,25.506,26.506,STANDING,STANDING,1.0,CENTER,1,SITTING,SITTING,0.3971432348092397,0.4893992700510555,0.0922560352418157,0.9847241876536782,0.015275812346321804,6.666666666666667,0.2222222222222222,0.6111111111111112,0.3333333333333333,1.0,0.0,1.0,1.0,1,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::1,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,26.006,27.006,STANDING,STANDING,1.0,CENTER,1,SITTING,STANDING,0.6798236618439356,0.2815430276095867,-0.3982806342343489,0.99936795319357,0.0006320468064300311,1.9444444444444444,0.3888888888888889,0.9444444444444444,0.0555555555555555,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,1,0,DEGRADED
sitting_relative_gate_refined_live_test::standing_1m::center::1s::6,sitting_relative_gate_refined_live_test,standing_1m,center,1,1.0,28.506,29.506,STANDING,STANDING,1.0,CENTER,1,STANDING,SITTING,0.4072630076031935,0.5468765732489134,0.1396135656457198,0.9637948888483644,0.036205111151635605,3.0526315789473686,0.1052631578947368,0.8421052631578947,0.1052631578947368,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
