window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::leanback_1m::center::1s::31,session_20260703_205540,leanback_1m,center,3,1.0,244.125,245.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4435949498101285,0.4763368697542893,0.0327419199441608,1.1688363804602993,0.16883638046029925,0.1578947368421052,0.9473684210526316,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::32,session_20260703_205540,leanback_1m,center,3,1.0,244.625,245.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4479955434799194,0.4727386191487312,0.0247430756688118,1.168070412588857,0.16807041258885702,0.3,0.7,1.0,0.0,1.0,0.0,1.25,1.25,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::33,session_20260703_205540,leanback_1m,center,3,1.0,245.125,246.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4118149672683917,0.514303949318434,0.1024889820500424,1.1683260674514164,0.16832606745141643,0.9473684210526316,0.4210526315789473,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::34,session_20260703_205540,leanback_1m,center,3,1.0,245.625,246.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3234559819102287,0.6118855215609074,0.2884295396506786,1.1687143167250666,0.16871431672506665,0.8125,0.625,1.0,0.0,1.0,0.1578947368421053,0.8421052631578947,0.8421052631578947,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::35,session_20260703_205540,leanback_1m,center,3,1.0,246.125,247.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4026547687895158,0.5254852421143476,0.1228304733248318,1.1682434529513033,0.16824345295130327,0.0588235294117647,0.9411764705882352,1.0,0.0,1.0,0.1052631578947368,0.8947368421052632,0.8947368421052632,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::36,session_20260703_205540,leanback_1m,center,3,1.0,246.625,247.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3960877402048361,0.5305109525981703,0.134423212393334,1.162866719114346,0.16286671911434603,1.0,0.5263157894736842,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::37,session_20260703_205540,leanback_1m,center,3,1.0,247.125,248.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.2358858718683844,0.7040700943846452,0.4681842225162606,1.1559795209627743,0.15597952096277434,1.4210526315789471,0.3157894736842105,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::38,session_20260703_205540,leanback_1m,center,3,1.0,247.625,248.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.2484712110538231,0.6835468850637737,0.4350756740099505,1.1563787847216915,0.15637878472169153,0.4736842105263157,0.7368421052631579,1.0,0.0,1.0,0.05,0.95,0.95,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::39,session_20260703_205540,leanback_1m,center,3,1.0,248.125,249.125,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3962438388003243,0.5150175839662552,0.1187737451659308,1.158925236087586,0.1589252360875859,0.0,1.0,1.0,0.0,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::1s::40,session_20260703_205540,leanback_1m,center,3,1.0,248.625,249.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4673553512376897,0.4355088998289669,-0.0318464514087228,1.158925236087586,0.1589252360875859,0.0,1.0,1.0,0.0,1.0,0.15,0.85,0.85,0,0,DEGRADED
