expected_position_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
CENTER,12426,30,66,0.5408015451472719,0.5564139707065829,0.9592332613390929,0.3631047924787893,0.02159827213822894,0.05194805194805195,0.5498738821371245,0.35639810426540286,0.3569933396764986,0.3971997052321297,0.013924551079129663,0.9631335499419261,0.7439387161049196,0.9409946517849517,1.1235646456363406,0.32134348469162977,1.0
LEFT,5191,30,30,0.554035831246388,0.6330186861876325,0.8854922279792746,0.3578656853725851,0.027979274611398965,0.0,0.547378104875805,0.21732954545454544,0.3563218390804598,0.48225214198286415,0.019036529705046754,0.9757170080151162,0.7424515166444617,0.9100569403656856,1.9216007548595726,2.6911253253701395e+17,1.630706992872279
RIGHT,5655,26,26,0.7531388152077807,0.7372236958443855,0.8756917837377608,0.6660617059891107,0.05789697743720732,0.0574468085106383,0.2658802177858439,0.6551724137931034,0.591995841995842,0.9315789473684211,0.01637055249190411,0.9766111501668392,0.8032783665698215,0.9464024520014298,0.9330456860234013,0.4854277282489026,1.632183908045977
