expected_subpose_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
SITTING_LEAN_BACK,8919,20,46,0.40755690099786973,0.48794707926897635,0.0,0.40755690099786973,0.0,0.0,0.4857046754120417,0.0,0.40755690099786973,0.0,0.01579789439157745,0.9446949837712931,0.8014095541965023,0.9397911774722022,1.0546669454991644,0.2407806866264948,1.2092162798520014
SITTING_LEAN_FORWARD,2744,5,18,0.5335276967930029,0.49526239067055394,0.0,0.5335276967930029,0.0,0.0,0.4096209912536443,0.0,0.0,0.5335276967930029,0.01791306140787154,0.9869992028430631,0.8461668384469103,0.947486739883652,0.8530473831230589,5.090973602039503e+17,1.505466472303207
SITTING_UPRIGHT,3626,5,19,0.3963044677330392,0.5173745173745173,0.0,0.3963044677330392,0.0,0.0,0.5526751241036956,0.3963044677330392,0.0,0.0,0.016111607078255406,0.9859096599376601,0.7603368352330818,0.9313556106696977,1.1530280979964462,0.8240046762879166,1.4180915609487037
STANDING,7983,20,39,0.9168232494049856,0.8495553050231742,0.9168232494049856,0.0,0.033821871476888386,0.039731393396754335,0.0,0.0,0.0,0.0,0.014523991469679039,0.9829151615416303,0.6782102579282715,0.9281992253767425,1.6641113328427548,0.23238244140292244,1.2605536765626957
