segment_id,expected_pose,expected_distance_m,accuracy,dominant_display_pose,dominant_wrong_pose,standing_rate,sitting_rate,moving_rate,unknown_rate,quality_NO_POINTS_rate,mean_geom_pts,mean_stand_prob,mean_sit_prob,time_to_stable_correct_s,posture_verdict,posture_issue_reason
leanback_1m,SITTING,1.0,0.8878416588124411,SITTING,MOVING,0.0,0.8878416588124411,0.10084825636192271,0.011310084825636193,0.7577756833176249,2.071630537229029,0.21735211852602188,0.6410607087314409,22.359,MOVING_FALSE_POSITIVE,MOVING appears too often during a stationary benchmark segment.
leanback_2m,SITTING,2.0,0.8799688230709275,SITTING,STANDING,0.07560405300077942,0.8799688230709275,0.03819173811379579,0.006235385814497272,0.7427903351519876,1.7529228371005456,0.27747689100773243,0.6082416442182969,0.0,WEAK,Accuracy is below the strong-pass threshold but not a full failure.
leanback_3m,SITTING,3.0,0.7955390334572491,SITTING,MOVING,0.0,0.7955390334572491,0.20446096654275092,0.0,0.6319702602230484,2.546468401486989,0.23914147216132509,0.6551714047623389,0.0,MOVING_FALSE_POSITIVE,MOVING appears too often during a stationary benchmark segment.
leanback_4m,SITTING,4.0,0.35990338164251207,STANDING,STANDING,0.3864734299516908,0.35990338164251207,0.12318840579710146,0.13043478260869565,0.43478260869565216,1.9855072463768115,0.3371685138405278,0.4978301714743591,NA,MOVING_FALSE_POSITIVE,MOVING appears too often during a stationary benchmark segment.
