segment_id,expected_pose,expected_distance_m,mean_stand_prob,median_stand_prob,p10_stand_prob,p90_stand_prob,mean_sit_prob,median_sit_prob,p10_sit_prob,p90_sit_prob,mean_margin_stand_minus_sit,median_margin_stand_minus_sit,frames_stand_prob_gt_sit_prob,frames_sit_prob_gt_stand_prob
leanback_1m,SITTING,1.0,0.21735211852602188,0.259103387594223,0.0383658669888973,0.2947264015674591,0.6410607087314409,0.5840713977813721,0.5669243335723877,0.8628666400909424,-0.4237085902054191,-0.31920555233955383,0,1054
leanback_2m,SITTING,2.0,0.27747689100773243,0.3548856079578399,0.01417135521769516,0.3663196563720703,0.6082416442182969,0.5399994254112244,0.5241122841835022,0.921449899673462,-0.3307647532105645,-0.18511381745338445,63,1220
leanback_3m,SITTING,3.0,0.23914147216132509,0.3652272522449493,0.004887691233307081,0.3652272522449493,0.6551714047623389,0.5260964035987854,0.5260964035987854,0.9434918761253357,-0.41602993260101384,-0.16086915135383612,0,269
leanback_4m,SITTING,4.0,0.3371685138405278,0.3676687330007553,0.0343223620206117,0.5875507235527039,0.4978301714743591,0.459584042429924,0.19046389609575268,0.8547782957553863,-0.16066165763383128,-0.08440158516168597,175,239
